Country,Received Antiretrovirals,Needing antiretrovirals,Percentage Recieved,Needing antiretrovirals_median,Needing antiretrovirals_min,Needing antiretrovirals_max,Percentage Recieved_median,Percentage Recieved_min,Percentage Recieved_max,WHO Region
Afghanistan,20,200[100_500],11[7_18],200,100,500,11,7,18,Eastern Mediterranean
Albania,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Algeria,320,500[500_500],74[69_78],500,500,500,74,69,78,Africa
Angola,9600,25000[19000_32000],38[29_48],25000,19000,32000,38,29,48,Africa
ArgentiNo data,1800,1800[1600_2000],95[85_95],1800,1600,2000,95,85,95,Americas
Armenia,50,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Australia,No data,100[100_100],No data,100,100,100,No data,No data,No data,Western Pacific
Austria,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Azerbaijan,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Bahamas,50,100[100_200],58[51_65],100,100,200,58,51,65,Americas
Bahrain,0,No data,No data,No data,No data,No data,No data,No data,No data,Eastern Mediterranean
Bangladesh,40,200[200_200],28[24_33],200,200,200,28,24,33,South-East Asia
Barbados,20,No data,No data,No data,No data,No data,No data,No data,No data,Americas
Belarus,230,500[200_500],90[67_95],500,200,500,90,67,95,Europe
Belgium,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Belize,40,100[100_200],44[39_49],100,100,200,44,39,49,Americas
Benin,4600,2600[1600_4300],95[95_95],2600,1600,4300,95,95,95,Africa
Bhutan,No data,No data,No data,No data,No data,No data,No data,No data,No data,South-East Asia
Bolivia (PluriNo datatioNo datal State of),350,500[500_500],95[95_95],500,500,500,95,95,95,Americas
Bosnia and HerzegoviNo data,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
BotswaNo data,12 400,13000[10000_14000],95[77_95],13000,10000,14000,95,77,95,Africa
Brazil,No data,No data,No data,No data,No data,No data,No data,No data,No data,Americas
Brunei Darussalam,0,No data,No data,No data,No data,No data,No data,No data,No data,Western Pacific
Bulgaria,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
BurkiNo data Faso,4700,4900[3600_6100],95[71_95],4900,3600,6100,95,71,95,Africa
Burundi,4000,5000[3800_6000],80[61_95],5000,3800,6000,80,61,95,Africa
Cabo Verde,No data,No data,No data,No data,No data,No data,No data,No data,No data,Africa
Cambodia,620,730[600_850],85[71_95],730,600,850,85,71,95,Western Pacific
Cameroon,21 700,27000[21000_32000],80[61_94],27000,21000,32000,80,61,94,Africa
CaNo datada,No data,No data,No data,No data,No data,No data,No data,No data,No data,Americas
Central African Republic,3200,4500[3300_5800],71[52_91],4500,3300,5800,71,52,91,Africa
Chad,5600,10000[7200_13000],56[40_72],10000,7200,13000,56,40,72,Africa
Chile,370,500[500_500],95[95_95],500,500,500,95,95,95,Americas
ChiNo data,No data,No data,No data,No data,No data,No data,No data,No data,No data,Western Pacific
Colombia,490,2300[1900_2700],21[17_25],2300,1900,2700,21,17,25,Americas
Comoros,0,No data,No data,No data,No data,No data,No data,No data,No data,Africa
Congo,1000,4100[2800_5800],25[17_36],4100,2800,5800,25,17,36,Americas
Costa Rica,40,No data,No data,No data,No data,No data,No data,No data,No data,Americas
Côte d'Ivoire,16 500,18000[13000_24000],90[65_95],18000,13000,24000,90,65,95,Africa
Croatia,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Cuba,180,200[200_200],95[86_95],200,200,200,95,86,95,Americas
Cyprus,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Czechia,10,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Democratic People's Republic of Korea,No data,No data,No data,No data,No data,No data,No data,No data,No data,Western Pacific
Democratic Republic of the Congo,11 400,26000[20000_31000],44[33_52],26000,20000,31000,44,33,52,Africa
Denmark,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Djibouti,60,500[200_500],30[22_39],500,200,500,30,22,39,Eastern Mediterranean
Dominican Republic,770,910[690_1200],84[64_95],910,690,1200,84,64,95,Americas
Ecuador,370,500[500_620],95[68_95],500,500,620,95,68,95,Americas
Egypt,60,500[500_500],16[15_18],500,500,500,16,15,18,Eastern Mediterranean
El Salvador,110,500[500_500],40[33_46],500,500,500,40,33,46,Americas
Equatorial Guinea,1300,2600[1800_3500],50[35_68],2600,1800,3500,50,35,68,Africa
Eritrea,230,500[500_690],48[34_69],500,500,690,48,34,69,Africa
Estonia,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
Eswatini,8600,11000[9000_12000],79[66_89],11000,9000,12000,79,66,89,Africa
Ethiopia,18 400,20000[14000_28000],92[63_95],20000,14000,28000,92,63,95,Africa
Fiji,No data,No data,No data,No data,No data,No data,No data,No data,No data,Western Pacific
Finland,No data,No data,No data,No data,No data,No data,No data,No data,No data,Europe
